iter	RMSE
295	0.4528868582
296	0.452252226
297	0.4522066454
298	0.4522017492
299	0.4521313547
300	0.4521261327
301	0.4520639655
302	0.4520034627
303	0.45199838
304	0.4519929191
305	0.4513905027
306	0.4513857282
307	0.4513812196
308	0.4509444286
309	0.4509398082
310	0.4508846412
311	0.4508801731
312	0.450876245
313	0.4508659309
314	0.450861803
315	0.450857815
316	0.4503028662
317	0.4502784275
318	0.4502304449
319	0.4501720516
320	0.4496441707
321	0.4496215123
322	0.4488215505
323	0.4487657171
324	0.4482203815
325	0.4477526172
326	0.447744093
327	0.447710007
328	0.4477061523
329	0.4475159816
330	0.447495181
331	0.4470506394
332	0.4470198813
333	0.4469030103
334	0.446901371
335	0.4468937702
336	0.4468904984
337	0.4468871553
338	0.446721996
339	0.4466666542
340	0.446625015
341	0.4466218283
342	0.4466048748
343	0.4465917344
344	0.4464813102
345	0.4464286009
346	0.446006
347	0.4458960076
348	0.4458926684
